The city indexes use local prices for portland cement and 2 X 4 lumber and the national average price for structural steel. The city's BCI uses local union wages, plus fringes, for carpenters, bricklayers and iron workers. The city's CCI uses the same union wages for laborers.
YEAR MONTH BCI %CHG CCI %CHG
2022 January 9007.82 +15.4 14301.24 +9.2
2021 December 8934.82 +13.5 14228.24 +8.0
2021 November 9127.62 +15.9 14421.03 +9.5
2021 October 9158.49 +16.3% 14451.91 +9.8%
2021 September 8290.40 +7.5 13583.81 +4.4
2021 August 8524.32 +11.8 13817.73 +6.9
2021 July 8468.17 +11.2 13762.01 +6.6
2021 June 8165.26 +5.6 13459.10 +3.4
2021 May 8131.51 +8.1 13425.35 +4.7
2021 April 7863.57 +4.5 13157.41 +2.7
2021 March 7843.32 +4.3 13137.16 +2.5
2021 Feb 7816.32 +4.0 13110.16 +2.4
2021 Jan 7804.07 +3.9 13097.91 +2.3
2020 Dec 7874.92 +5.3 13168.76 +3.2
2020 Nov 7877.92 6.0% 13171.76 3.5%
2020 Oct 7874.17 +7.3 13168.01 +5.1
2020 Sept 7711.82 +6.0 13005.66 +5.2
2020 Aug 7626.76 +4.8 12920.60 +4.5
2020 July 7614.09 +4.9 12907.92 +4.5
2020 June 7728.87 +6.4 13022.70 +5.4
2020 May 7525.33 +3.9 12819.17 +3.9
2020 April 7522.83 +5.7 12816.67 +4.9
2020 March 7516.83 +8.1 12810.67 +6.3
2020 Feb 7513.83 +6.8 12807.67 +5.6
2020 Jan 7512.33 +7.0 12806.17 +5.7
2019 Dec 7479.68 +6.5 12764.52 +5.4
2019 Nov 7429.65 +5.9 12723.43 +5.1
2019 Oct 7341.15 +4.7 12524.93 +3.4
2019 Sept 7271.94 +3.7 12365.71 +2.2
2019 Aug 7274.44 +4.2 12368.21 +2.4
2019 July 7260.69 +4.2 12354.46 +2.5
2019 June 7260.69 +4.9 12354.46 +2.8
2019 May 7239.64 +4.6 12333.48 +2.7
2019 April 7228.39 +4.4 12322.23 +2.6
2019 Mar 6954.89 +0.5 12048.19 +0.3
2019 Feb 7038.07 +1.7 12131.37 +1.0
2019 Jan 7021.57 +1.4 12114.87 +0.8
2018 Dec 7022.07 +1.5 12115.37 +0.8
2018 Nov 7016.57 +1.4 12109.87 +0.8
2018 Oct 7014.08 +1.3 12107.38 +0.8
2018 Sept 7010.58 +0.9 12103.88 +0.6
2018 Aug 6981.42 +0.5 12074.72 +0.3
2018 July 6966.67 +2.5 12050.97 +2.8
2018 June 6921.42 +1.9 12014.72 +2.5
2018 May 6921.42 +2.4 12014.72 +2.8
2018 Apr 6921.42 +2.3 12014.72 +2.7
2018 Mar 6921.42 +3.6 12014.72 +3.5
2018 Feb 6921.42 +3.6 12014.72 +3.5
2018 Jan 6921.42 +3.6 12014.72 +3.5
2017 Dec 6921.42 +3.6 12014.72 +3.5
2017 Nov 6921.42 +4.1 12014.72 +3.8
2017 Oct 6921.42 +4.1 12014.72 +3.8
2017 Sept 6945.92 +4.5 12037.27 +4.0
2017 Aug 6943.98 +4.8 12037.27 +4.2
2017 Jul 6796.47 2.6 11725.52 1.5
2017 Jun 6793.10 +2.6 11722.15 +1.5
2017 May 6761.99 +2.1 11691.03 +1.2
2017 Apr 6767.41 +2.1 11696.47 +1.2
2017 Mar 6680.37 +0.8 11609.44 +0.5
2017 Feb 6680.37 +4.2 11609.44 +3.9
2017 Jan 6680.37 +4.6 11609.44 +4.1
2016 Dec 6680.37 +4.6 11609.44 +4.1
2016 Nov 6650.28 +4.2 11579.33 +3.8
2016 Oct 6649.28 +4.0 11578.33 +3.8
2016 Sep 6647.28 +3.9 11576.33 +3.7
2016 Aug 6625.60 +3.70 11554.65 +3.60
2016 Jul 6626.10 +3.70 11555.15 +3.60
2016 Jun 6619.35 +3.60 11548.40 +3.50
2016 May 6621.35 +3.40 11550.40 +3.40
2016 Apr 6630.10 +3.50 11559.15 +3.50
2016 Mar 6628.85 +3.50 11557.90 +3.50
2016 Feb 6408.87 –0.10 11174.79 0.00
2016 Jan 6387.49 –0.30 11153.41 –0.20
2015 Dec 6389.49 +2.30 11155.41 +2.20
2015 Nov 6390.46 +2.20 11154.06 +2.10
2015 Oct 6390.80 +2.40 11169.31 +2.40
