iter	Passed	Remaining
0	49	49136
1	99	49459
2	152	50639
3	199	49787
4	252	50346
5	300	49809
6	352	49949
7	399	49509
8	464	51140
9	526	52103
10	588	52889
11	650	53595
12	714	54215
13	762	53675
14	814	53501
15	863	53107
16	915	52950
17	969	52892
18	1027	53055
19	1079	52883
20	1130	52700
21	1182	52555
22	1238	52603
23	1286	52329
24	1339	52235
25	1388	52004
26	1448	52205
27	1499	52061
28	1558	52172
29	1612	52129
30	1670	52201
31	1730	52336
32	1784	52290
33	1840	52291
34	1895	52251
35	1948	52177
36	2002	52112
37	2056	52060
38	2109	51981
39	2158	51807
40	2211	51727
41	2257	51496
42	2309	51393
43	2360	51295
44	2415	51261
45	2474	51320
46	2535	51402
47	2591	51406
48	2649	51419
49	2695	51223
50	2749	51170
51	2805	51147
52	2859	51100
53	2906	50909
54	2958	50840
55	3009	50723
56	3065	50715
57	3112	50553
58	3167	50522
59	3218	50417
60	3271	50357
61	3322	50262
62	3365	50058
63	3420	50028
64	3473	49962
65	3530	49956
66	3590	49992
67	3655	50100
68	3702	49953
69	3755	49892
70	3803	49772
71	3857	49722
72	3916	49733
73	3971	49697
74	4029	49699
75	4083	49640
76	4138	49608
77	4195	49589
78	4249	49545
79	4303	49489
80	4358	49455
81	4412	49402
82	4468	49367
83	4520	49295
84	4580	49304
85	4632	49231
86	4687	49190
87	4738	49106
88	4793	49070
89	4840	48939
90	4895	48896
91	4943	48789
92	4997	48743
93	5047	48646
94	5101	48600
95	5152	48518
96	5203	48441
97	5252	48341
98	5302	48254
99	5356	48208
100	5407	48134
101	5465	48117
102	5519	48067
103	5593	48194
104	5642	48096
105	5697	48053
106	5749	47981
107	5802	47924
108	5849	47815
109	5906	47792
110	5954	47687
111	6008	47640
112	6055	47534
113	6108	47476
114	6156	47374
115	6209	47322
116	6261	47253
117	6317	47222
118	6368	47149
119	6429	47151
120	6486	47120
121	6546	47113
122	6599	47052
123	6659	47047
124	6708	46958
125	6759	46885
126	6800	46747
127	6853	46686
128	6902	46606
129	6952	46531
130	7002	46453
131	7063	46448
132	7113	46368
133	7166	46313
134	7217	46244
135	7261	46130
