iter	Passed	Remaining
0	26	26143
1	52	26156
2	79	26345
3	105	26287
4	131	26116
5	155	25742
6	180	25646
7	207	25676
8	231	25436
9	255	25270
10	279	25151
11	303	24995
12	327	24859
13	351	24765
14	375	24650
15	411	25333
16	433	25084
17	459	25061
18	483	24951
19	508	24933
20	531	24788
21	557	24799
22	582	24761
23	609	24799
24	636	24817
25	661	24790
26	689	24852
27	714	24809
28	736	24671
29	763	24679
30	788	24657
31	811	24538
32	833	24419
33	857	24363
34	881	24303
35	905	24234
36	928	24159
37	955	24183
38	979	24135
39	996	23917
40	1013	23715
41	1038	23676
42	1062	23639
43	1084	23566
44	1108	23521
45	1132	23486
46	1155	23431
47	1179	23402
48	1205	23400
49	1230	23377
50	1253	23327
51	1274	23233
52	1297	23181
53	1321	23149
54	1345	23123
55	1370	23096
56	1396	23099
57	1420	23073
58	1441	22994
59	1465	22954
60	1490	22941
61	1514	22905
62	1536	22856
63	1560	22821
64	1584	22791
65	1608	22760
66	1633	22752
67	1659	22743
68	1687	22769
69	1711	22740
70	1736	22726
71	1760	22692
72	1784	22657
73	1807	22621
74	1830	22578
75	1853	22538
76	1877	22502
77	1900	22463
78	1923	22424
79	1949	22420
80	1977	22432
81	2001	22403
82	2025	22374
83	2046	22320
84	2071	22294
85	2094	22256
86	2118	22232
87	2136	22142
88	2160	22110
89	2182	22067
90	2206	22045
91	2230	22014
92	2255	22000
93	2276	21941
94	2303	21940
95	2325	21895
96	2349	21872
97	2385	21955
98	2407	21913
99	2433	21899
100	2460	21900
101	2485	21884
102	2509	21852
103	2533	21828
104	2556	21788
105	2582	21780
106	2606	21753
107	2630	21722
108	2657	21724
109	2682	21704
110	2706	21672
111	2730	21648
112	2752	21609
113	2776	21576
114	2797	21529
115	2820	21492
116	2842	21455
117	2867	21430
118	2892	21412
119	2913	21368
120	2938	21345
121	2960	21307
122	2982	21263
123	3006	21242
124	3030	21214
125	3049	21153
126	3071	21110
127	3095	21088
128	3121	21076
129	3144	21046
130	3167	21010
131	3189	20974
132	3213	20945
133	3236	20919
134	3263	20908
135	3290	20906
136	3319	20911
137	3346	20900
138	3389	20998
139	3415	20982
140	3446	20994
141	3476	21008
142	3505	21006
143	3531	20994
144	3574	21076
145	3616	21156
146	3652	21192
147	3695	21272
148	3720	21248
149	3749	21245
150	3787	21293
151	3813	21275
152	3835	21231
153	3857	21189
154	3881	21160
155	3903	21120
156	3935	21132
157	3959	21098
158	3985	21082
159	4007	21040
160	4038	21047
161	4067	21041
162	4109	21101
163	4139	21102
164	4170	21105
165	4200	21102
166	4226	21084
167	4255	21077
168	4283	21060
169	4310	21043
170	4356	21117
171	4416	21260
172	4445	21249
173	4469	21219
174	4495	21193
175	4519	21160
176	4543	21126
177	4567	21092
178	4591	21059
179	4615	21027
180	4640	20997
181	4666	20974
182	4696	20968
183	4723	20948
184	4749	20923
185	4771	20881
186	4795	20847
187	4820	20819
188	4848	20804
189	4906	20917
190	4937	20912
191	4963	20886
192	4999	20903
193	5027	20889
194	5053	20862
195	5084	20858
196	5118	20863
197	5150	20862
198	5179	20849
199	5234	20937
200	5260	20910
201	5283	20872
202	5319	20886
203	5341	20842
204	5369	20821
205	5392	20785
206	5415	20747
207	5440	20716
208	5465	20685
209	5489	20649
210	5513	20615
211	5538	20585
212	5562	20553
213	5587	20522
214	5611	20489
215	5633	20448
216	5659	20420
217	5685	20394
218	5711	20368
219	5738	20346
220	5763	20316
221	5786	20278
222	5811	20247
223	5835	20216
224	5862	20193
225	5885	20157
226	5904	20107
227	5928	20072
228	5952	20042
229	5975	20004
230	6000	19974
231	6024	19941
232	6049	19915
233	6074	19884
234	6099	19856
235	6125	19830
236	6150	19800
237	6172	19763
238	6195	19726
239	6218	19692
240	6243	19663
241	6265	19624
242	6291	19599
243	6313	19561
244	6335	19523
245	6358	19489
246	6382	19458
247	6406	19425
248	6433	19404
249	6459	19378
250	6484	19350
251	6509	19321
252	6534	19292
253	6558	19262
254	6582	19230
255	6605	19196
256	6629	19166
257	6658	19148
258	6684	19123
259	6711	19100
260	6732	19061
261	6756	19032
262	6780	18999
263	6804	18969
264	6831	18947
265	6856	18919
266	6881	18891
267	6905	18862
268	6929	18830
269	6952	18797
270	6977	18769
271	7002	18742
272	7029	18718
273	7055	18694
274	7080	18665
275	7115	18664
276	7140	18637
277	7162	18601
278	7181	18559
279	7207	18532
280	7230	18502
281	7255	18472
282	7278	18441
283	7303	18412
284	7326	18379
285	7354	18360
286	7380	18336
287	7402	18300
288	7426	18271
289	7446	18230
290	7468	18197
291	7491	18165
292	7518	18140
293	7543	18114
294	7568	18087
295	7593	18060
296	7615	18024
297	7640	17999
298	7662	17964
299	7691	17947
300	7719	17926
301	7749	17911
302	7775	17887
303	7801	17861
304	7831	17844
305	7856	17819
306	7879	17787
307	7905	17760
308	7929	17731
309	7952	17700
310	7977	17673
311	8002	17645
312	8027	17618
313	8050	17587
314	8073	17557
315	8098	17529
316	8122	17499
317	8146	17470
318	8176	17456
319	8206	17438
320	8241	17433
321	8268	17411
322	8294	17384
323	8317	17354
324	8340	17322
325	8372	17309
326	8401	17291
327	8428	17268
328	8456	17246
329	8482	17221
330	8507	17195
331	8532	17168
332	8558	17143
333	8582	17114
334	8608	17087
335	8633	17061
336	8673	17063
337	8700	17041
338	8729	17020
339	8754	16994
340	8780	16969
341	8805	16942
342	8833	16919
343	8857	16891
344	8881	16862
345	8906	16835
346	8933	16811
347	8956	16780
348	8985	16760
349	9009	16732
350	9032	16701
351	9059	16678
352	9085	16651
353	9108	16621
354	9128	16586
355	9153	16558
356	9177	16529
357	9196	16491
358	9215	16453
359	9240	16427
360	9263	16396
361	9287	16368
362	9311	16340
363	9336	16313
364	9364	16291
365	9387	16261
366	9411	16233
367	9437	16207
368	9460	16178
369	9486	16152
370	9513	16128
371	9540	16105
372	9577	16099
373	9602	16072
374	9627	16045
375	9653	16020
376	9677	15992
377	9706	15972
378	9735	15951
379	9773	15946
380	9797	15916
381	9824	15893
382	9848	15865
383	9871	15835
384	9892	15802
385	9918	15776
386	9944	15752
387	9971	15728
388	9995	15699
389	10021	15675
390	10048	15650
391	10077	15630
392	10099	15598
393	10126	15574
394	10150	15546
395	10174	15518
396	10199	15491
397	10222	15461
398	10246	15433
399	10271	15407
400	10297	15381
401	10321	15354
